"		지점번호",지점명,date,avg_temp,max_temp,"	최고기온시각",min_temp,최저기온시각일교차,
"		108",서울,1963-04-05,14.5,16.4,7:30,9.6,24:00:00,6.8
"		108",서울,1963-04-06,6.6,9.9,1:45,4.4,24:00:00,5.5
"		108",서울,1963-04-07,7.7,12.3,15:03,3.3,6:40,9
"		108",서울,1963-04-08,4.3,5.9,10:05,1.8,6:07,4.1
"		108",서울,1964-04-02,13.7,19.3,16:52,7.2,6:12,12.1
"		108",서울,1964-04-03,15.3,18,14:54,13.8,24:00:00,4.2
"		108",서울,1964-04-04,16.4,22.7,16:38,12.6,2:41,10.1
"		108",서울,1964-04-05,15.5,18.2,17:25,12.4,24:00:00,5.8
"		108",서울,1964-04-06,6.4,12.4,0:00,2.8,21:05,9.6
"		108",서울,1964-04-07,4.5,8.1,12:19,2.4,24:00:00,5.7
"		108",서울,1964-04-08,5.6,9.8,15:18,0.7,5:55,9.1
"		108",서울,1965-04-02,4.1,9.4,14:07,-1.3,6:02,10.7
"		108",서울,1965-04-03,5.7,11.8,15:46,1.6,7:50,10.2
"		108",서울,1965-04-04,5.7,11.6,14:48,2.6,5:40,9
"		108",서울,1965-04-05,6.3,11.2,14:58,0.8,6:32,10.4
"		108",서울,1965-04-06,6.6,13.1,15:16,0.3,6:52,12.8
"		108",서울,1965-04-07,8.2,15.6,15:25,2,6:00,13.6
"		108",서울,1965-04-08,7.7,12.6,14:33,5,24:00:00,7.6
"		108",서울,1966-04-02,8.5,14.8,13:50,2.9,6:30,11.9
"		108",서울,1966-04-03,9.9,15.8,15:39,5.2,24:00:00,10.6
"		108",서울,1966-04-04,6.4,12.8,14:18,3.2,6:35,9.6
"		108",서울,1966-04-05,5.8,12.8,15:40,0.2,6:25,12.6
"		108",서울,1966-04-06,8.6,15.8,14:36,1.6,6:28,14.2
"		108",서울,1966-04-07,9.6,16.8,14:20,5,6:35,11.8
"		108",서울,1966-04-08,9.5,14.8,14:13,6.1,6:45,8.7
"		108",서울,1967-04-02,15,21.2,14:45,8.8,6:56,12.4
"		108",서울,1967-04-03,11.3,17.1,11:49,4.1,23:32,13
"		108",서울,1967-04-04,4.3,8.4,16:11,1.6,6:42,6.8
"		108",서울,1967-04-05,6.7,11.4,14:35,1.1,6:43,10.3
"		108",서울,1967-04-06,8.2,13,15:41,3.6,5:24,9.4
"		108",서울,1967-04-07,12.7,19.5,15:01,4.7,6:28,14.8
"		108",서울,1967-04-08,9,11.8,0:00,7.1,9:00,4.7
"		108",서울,1968-04-02,10.3,17.2,15:38,4,6:22,13.2
"		108",서울,1968-04-03,9.7,15.6,13:30,4.8,6:50,10.8
"		108",서울,1968-04-04,12.1,20.2,15:12,4.4,5:16,15.8
"		108",서울,1968-04-05,8.9,12.6,15:50,5.9,6:47,6.7
"		108",서울,1968-04-06,12.3,19.6,14:50,5.3,4:55,14.3
"		108",서울,1968-04-07,14.5,22.6,14:04,8.7,4:19,13.9
"		108",서울,1968-04-08,11.6,13.4,0:05,10.4,24:00:00,3
"		108",서울,1969-04-02,9,13.7,15:13,4.8,3:30,8.9
"		108",서울,1969-04-03,11.9,18,15:16,8,5:52,10
"		108",서울,1969-04-04,3.1,9.4,0:00,-0.2,8:59,9.6
"		108",서울,1969-04-05,4.4,9.2,14:42,0,6:28,9.2
"		108",서울,1969-04-06,5.6,10.2,14:36,2.8,24:00:00,7.4
"		108",서울,1969-04-07,7.9,14.2,16:07,0.2,6:00,14
"		108",서울,1969-04-08,5.9,8.8,0:00,3.8,24:00:00,5
"		108",서울,1970-04-02,10.3,16.4,15:17,4.8,6:25,11.6
"		108",서울,1970-04-03,11.7,17,15:38,6.2,6:54,10.8
"		108",서울,1970-04-04,8.8,15.2,15:48,5.8,6:35,9.4
"		108",서울,1970-04-05,7.2,13.4,15:07,3.1,6:00,10.3
"		108",서울,1970-04-06,8.9,14.6,12:21,2.2,6:20,12.4
"		108",서울,1970-04-07,7.4,11.6,15:52,4.4,24:00:00,7.2
"		108",서울,1970-04-08,7.6,15.2,15:16,0.8,6:00,14.4
"		108",서울,1971-04-02,5.5,11.4,15:25,2.6,4:25,8.8
"		108",서울,1971-04-03,5.5,10.5,12:59,0.8,6:48,9.7
"		108",서울,1971-04-04,6.7,13.6,15:11,0.6,7:02,13
"		108",서울,1971-04-05,6.3,11,17:00,1.8,7:05,9.2
"		108",서울,1971-04-06,10.9,20,17:15,2.4,7:00,17.6
"		108",서울,1971-04-07,14.5,21.6,15:58,7.8,6:40,13.8
"		108",서울,1971-04-08,8.9,12,0:00,6.6,24:00:00,5.4
"		108",서울,1972-04-02,3.1,9,15:54,-2.4,6:08,11.4
"		108",서울,1972-04-03,6,10.8,12:45,0.9,3:39,9.9
"		108",서울,1972-04-04,10.1,15.3,14:58,6.2,4:30,9.1
"		108",서울,1972-04-05,11.4,18,16:18,4.9,5:59,13.1
"		108",서울,1972-04-06,13.6,20.1,13:54,8.9,2:59,11.2
"		108",서울,1972-04-07,9.7,13.7,14:10,7.1,5:40,6.6
"		108",서울,1972-04-08,9.4,14.4,14:18,5.8,6:40,8.6
"		108",서울,1973-04-02,7.4,13.4,12:34,2.7,6:00,10.7
"		108",서울,1973-04-03,6.5,11.4,14:25,1.8,6:00,9.6
"		108",서울,1973-04-04,6.6,11.9,15:03,3,6:54,8.9
"		108",서울,1973-04-05,6.5,13.2,15:18,0.9,6:53,12.3
"		108",서울,1973-04-06,10,18.5,16:26,1.6,6:20,16.9
"		108",서울,1973-04-07,11.1,13,16:49,8.4,6:26,4.6
"		108",서울,1973-04-08,13.6,16.6,13:48,12.2,0:00,4.4
"		108",서울,1974-04-02,5.2,10.2,13:42,0.8,6:57,9.4
"		108",서울,1974-04-03,8.9,14.6,14:23,3.3,5:45,11.3
"		108",서울,1974-04-04,9.2,13.3,11:50,7.5,24:00:00,5.8
